iter	Passed	Remaining
0	154	154738
1	155	77648
2	156	51890
3	156	39005
4	157	31274
5	157	26118
6	158	22434
7	158	19672
8	159	17530
9	159	15822
10	160	14432
11	161	13277
12	161	12284
13	162	11435
14	162	10696
15	163	10054
16	164	9485
17	164	8982
18	165	8531
19	165	8129
20	166	7774
21	167	7445
22	168	7146
23	168	6863
24	169	6602
25	169	6361
26	170	6137
27	170	5928
28	171	5734
29	171	5553
30	172	5387
31	173	5235
32	173	5092
33	174	4961
34	175	4832
35	175	4708
36	176	4589
37	176	4476
38	177	4369
39	177	4267
40	178	4171
41	178	4079
42	179	3995
43	180	3911
44	180	3830
45	181	3754
46	181	3683
47	182	3615
48	182	3550
49	183	3486
50	183	3423
51	184	3363
52	185	3305
53	185	3249
54	186	3195
55	186	3144
56	186	3093
57	187	3044
58	188	2999
59	188	2956
60	189	2914
61	189	2874
62	190	2834
63	191	2794
64	191	2758
65	192	2720
66	192	2684
67	193	2648
68	193	2614
69	194	2580
70	194	2547
71	195	2516
72	195	2485
73	196	2456
74	197	2431
75	203	2468
76	203	2440
77	204	2416
78	205	2395
79	206	2371
80	206	2345
81	207	2320
82	207	2293
83	208	2269
84	208	2245
85	209	2222
86	209	2199
87	210	2178
88	210	2157
89	211	2136
90	211	2116
91	212	2100
92	213	2083
93	214	2063
94	214	2044
95	215	2025
96	215	2007
97	216	1988
98	216	1971
99	217	1955
100	217	1939
101	218	1923
102	219	1907
103	219	1894
104	221	1885
105	221	1872
106	222	1857
107	223	1842
108	223	1829
109	224	1815
110	224	1801
111	225	1786
112	225	1772
113	226	1759
114	226	1746
115	227	1734
116	228	1723
117	229	1713
118	229	1701
119	230	1689
120	231	1678
121	231	1665
122	231	1654
123	232	1642
124	232	1630
125	233	1619
126	233	1607
127	234	1597
128	235	1587
129	235	1578
130	236	1569
131	237	1559
132	237	1549
133	238	1539
134	238	1530
135	239	1520
136	239	1511
137	240	1501
138	240	1492
139	241	1482
140	241	1474
141	242	1464
142	243	1457
143	244	1453
144	245	1444
145	245	1436
146	246	1427
147	246	1419
148	247	1410
149	247	1402
150	248	1394
151	248	1386
152	249	1378
153	249	1371
154	250	1364
155	251	1360
156	251	1352
157	252	1345
158	253	1338
159	253	1331
160	253	1323
161	254	1316
162	255	1310
163	255	1303
164	256	1297
165	257	1291
166	257	1286
167	258	1280
168	259	1274
169	259	1268
170	260	1262
171	261	1256
172	261	1251
173	262	1247
174	263	1242
175	264	1237
176	265	1233
177	266	1228
178	267	1226
179	268	1223
180	269	1217
181	269	1212
182	270	1206
183	270	1200
184	271	1195
185	272	1191
186	273	1188
187	274	1185
188	275	1182
189	276	1177
190	276	1172
191	277	1167
192	278	1162
193	278	1157
194	279	1153
195	280	1149
196	281	1145
197	281	1142
198	282	1137
199	283	1134
200	284	1130
201	285	1126
202	286	1123
203	287	1121
204	288	1119
205	289	1117
206	290	1113
207	291	1108
208	291	1103
209	292	1099
210	292	1095
211	293	1091
212	294	1088
213	295	1085
214	297	1086
215	298	1082
216	299	1079
217	299	1075
218	300	1071
219	301	1067
220	301	1063
221	302	1060
222	304	1061
223	305	1059
224	306	1055
225	307	1051
226	307	1047
227	308	1043
228	308	1040
229	309	1037
230	311	1038
231	312	1035
232	313	1031
233	314	1028
234	314	1024
235	315	1020
236	315	1016
237	316	1014
